City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
1922,Ostersund,SE,63.1792,14.6357,59.45,33,0,4.61,clear sky
1923,Son La,VN,21.3167,103.9,69.12,100,100,1.14,moderate rain
1924,Ialibu,PG,-6.2821,143.9935,54.01,96,38,2.66,moderate rain
1925,Pokrovsk,UA,48.282,37.1758,52.52,82,68,13.89,broken clouds
1926,Minchinabad,PK,30.163,73.5685,96.35,9,10,7.94,clear sky
1927,Amahai,ID,-3.3333,128.9167,78.15,86,67,3.22,broken clouds
1928,Peremyshl,RU,54.2631,36.1606,54.16,65,80,7.11,broken clouds
1929,Xuanhua,CN,40.6103,115.0447,66.51,51,80,1.68,broken clouds
1930,Erenhot,CN,43.6475,111.9767,68.34,36,54,5.73,broken clouds
1931,Aguas Formosas,BR,-17.0822,-40.9358,80.47,36,13,5.99,few clouds
1932,Shirokaya Rechka,RU,56.7986,60.4852,38.66,92,64,5.99,broken clouds
1933,Beyla,GN,8.6833,-8.6333,80.74,60,96,2.95,overcast clouds
1934,Tahta,EG,26.7693,31.5021,82.76,16,0,13.87,clear sky
1935,Santa Fe,AR,-31.6333,-60.7,72.01,57,3,4.0,light rain
1936,Laguna De Perlas,NI,12.3429,-83.6712,80.89,82,93,6.98,overcast clouds
1937,Bongandanga,CD,1.5,21.05,79.14,70,99,2.44,overcast clouds
1938,Kyshtovka,RU,56.555,76.6271,49.91,87,100,8.81,light rain
1939,Homer,US,59.6425,-151.5483,54.77,69,100,4.0,overcast clouds
1940,Banjar,ID,-8.19,114.9675,77.85,87,100,3.74,overcast clouds
1941,Foz,ES,43.5692,-7.2544,61.61,96,100,5.91,overcast clouds
1942,Killybegs,IE,54.6333,-8.45,56.91,79,47,18.28,scattered clouds
1943,Hushitai,CN,41.9322,123.5114,58.91,43,37,8.66,scattered clouds
1944,Kjollefjord,NO,70.9457,27.3465,50.05,81,0,9.22,clear sky
1945,Sokoni,TZ,-6.4333,39.55,80.47,76,100,13.71,overcast clouds
1946,Mulchen,CL,-37.7167,-72.2333,49.86,93,100,10.74,overcast clouds
1947,Nizhniy Mamon,RU,50.1937,40.5083,51.28,88,57,14.07,broken clouds
1948,Horodok,UA,49.1637,26.5839,52.41,74,59,14.7,broken clouds
1949,Santa Ana,US,33.7456,-117.8678,72.93,61,20,5.75,few clouds
1950,Palasbari,IN,26.1361,91.5486,80.65,94,75,0.0,mist
1951,Orange,US,33.7,-117.7675,73.29,65,20,4.0,few clouds
1952,Santarem,BR,-2.4431,-54.7083,86.13,79,20,8.05,few clouds
1953,Krusevac,RS,43.58,21.3339,75.56,68,38,3.89,scattered clouds
1954,Kalmar,SE,56.6616,16.3616,56.97,71,22,1.99,few clouds
1955,Madison,US,34.7334,-86.5667,85.1,66,40,7.0,scattered clouds
1956,Gimli,CA,50.6336,-96.9907,50.52,48,9,4.16,clear sky
1957,Tulca,RO,45.1667,28.8,69.84,49,40,8.05,scattered clouds
1958,Kuusamo,FI,65.9667,29.1833,41.04,87,0,10.36,clear sky
1959,Senlis,FR,49.25,2.6667,71.69,62,100,4.79,overcast clouds
1960,Kars,TR,40.602,43.095,61.25,41,75,14.97,broken clouds
1961,Pervomayskiy,RU,53.2485,40.2871,46.26,75,83,7.27,broken clouds
1962,Andenes,NO,69.3143,16.1194,46.38,93,100,6.91,overcast clouds
1963,Mocsa,HU,47.67,18.185,69.8,61,15,7.65,few clouds
1964,Sungaipenuh,ID,-2.0833,101.3833,64.2,96,56,1.5,broken clouds
1965,Luangwa,ZM,-15.6167,30.4167,74.77,36,46,4.47,scattered clouds
1966,Zelezny Brod,CZ,50.6427,15.2541,64.42,56,26,6.96,scattered clouds
1967,Nong Chik,TH,6.8436,101.178,79.5,87,100,7.09,overcast clouds
1968,Mizan Teferi,ET,6.9833,35.5833,63.46,94,95,2.48,overcast clouds
1969,Cantagalo,BR,-21.9811,-42.3681,71.85,50,0,3.58,clear sky
1970,Raduzhnyy,RU,62.0961,77.475,60.71,58,82,17.81,broken clouds
1971,Russellville,US,35.2784,-93.1338,60.94,75,100,8.99,overcast clouds
1972,Clarksburg,US,39.2807,-80.3445,81.3,59,75,9.22,broken clouds
1973,Waverley,ZA,-25.7023,28.2591,57.52,50,58,1.21,broken clouds
1974,Arona,ES,28.0996,-16.681,72.01,60,20,21.85,few clouds
1975,Dejen,ET,10.1667,38.1333,70.14,20,64,1.66,broken clouds
1976,Khartoum,SD,15.5518,32.5324,97.02,13,95,1.99,overcast clouds
1977,Zambezi,ZM,-13.5432,23.1047,63.07,45,54,5.19,broken clouds
1978,Tananger,NO,58.9333,5.6,62.29,65,0,16.11,clear sky
1979,Shitanjing,CN,39.2342,106.3439,60.57,53,91,7.76,overcast clouds
1980,Gidam,IN,18.9833,81.4,85.03,27,1,2.06,clear sky
1981,Nieuw Amsterdam,SR,5.8833,-55.0833,84.36,70,40,9.22,scattered clouds
1982,Tucupita,VE,9.0622,-62.051,81.18,73,100,4.7,overcast clouds
1983,Paithan,IN,19.4833,75.3833,84.79,47,0,17.52,clear sky
1984,Fort Morgan,US,40.2503,-103.8,53.02,37,100,14.97,overcast clouds
1985,Jishou,CN,28.3167,109.7167,59.27,96,100,1.34,overcast clouds
1986,Nizhneangarsk,RU,55.7833,109.55,36.43,98,100,1.32,overcast clouds
1987,Gao,ML,16.6362,1.637,97.7,19,80,19.01,broken clouds
1988,Jaque,PA,7.5175,-78.1703,83.46,78,41,4.47,light rain
1989,Healdsburg,US,38.6105,-122.8692,79.9,39,0,5.01,clear sky
1990,Malanje,AO,-9.5402,16.341,72.39,49,70,1.14,broken clouds
1991,Piranhas,BR,-16.4269,-51.8222,87.1,14,1,5.88,clear sky
1992,Kailua,US,21.4022,-157.7394,77.02,77,40,8.05,scattered clouds
1993,Tornio,FI,65.8481,24.1466,53.62,79,87,7.38,overcast clouds
1994,Tevaitoa,PF,-16.7833,-151.5,80.22,74,10,14.0,clear sky
1995,Moranbah,AU,-22.0016,148.0466,64.09,82,100,13.13,overcast clouds
1996,Taywarah,AF,33.35,64.4167,49.42,28,0,6.62,clear sky
1997,Vasterhaninge,SE,59.1167,18.1,57.81,21,89,6.89,overcast clouds
1998,Bosilegrad,RS,42.5011,22.4724,63.7,65,63,4.63,broken clouds
