City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Abu Dhabi,AE,2022-05-22 04:38:52,24.4667,54.3667,87.96,62,0,4.61
129,Koumac,NC,2022-05-22 04:39:54,-20.5667,164.2833,79.27,77,69,2.04
130,Yellowknife,CA,2022-05-22 04:40:27,62.456,-114.3525,41.56,100,100,13.8
131,Rio Gallegos,AR,2022-05-22 04:39:30,-51.6226,-69.2181,41.05,60,0,17.27
132,Hwange,ZW,2022-05-22 04:40:55,-18.3693,26.5019,47.16,42,1,4.18
133,Jizan,SA,2022-05-22 04:40:55,17.3333,42.6667,85.14,41,8,1.59
134,Sao Filipe,CV,2022-05-22 04:40:56,14.8961,-24.4956,71.19,79,69,6.35
135,Yarada,IN,2022-05-22 04:39:18,17.65,83.2667,93.52,55,20,2.3
136,Daraitan,PH,2022-05-22 04:40:56,14.6028,121.4319,87.71,68,100,2.89
137,Sinnamary,GF,2022-05-22 04:36:38,5.3833,-52.95,76.69,89,100,9.42
138,Qaanaaq,GL,2022-05-22 04:34:14,77.484,-69.3632,13.87,86,99,6.04
139,Jamestown,US,2022-05-22 04:37:37,42.097,-79.2353,64.04,93,40,5.01
140,Okhotsk,RU,2022-05-22 04:40:57,59.3833,143.3,34.05,97,100,9.06
141,Ust-Tsilma,RU,2022-05-22 04:40:58,65.441,52.1498,34.92,60,100,13.47
142,Raduzhnyy,RU,2022-05-22 04:40:58,62.0961,77.475,57.97,44,93,14.92
143,Brunswick,US,2022-05-22 04:40:59,41.2381,-81.8418,64.92,95,100,4.61
144,Bambous Virieux,MU,2022-05-22 04:34:44,-20.3428,57.7575,73.65,78,40,5.75
145,Sao Joao Da Barra,BR,2022-05-22 04:40:59,-21.6403,-41.0511,63.0,89,13,5.44
146,Hamilton,US,2022-05-22 04:39:10,39.1834,-84.5333,67.06,96,75,8.05
147,Cidreira,BR,2022-05-22 04:40:45,-30.1811,-50.2056,55.58,81,97,4.18
148,Hay River,CA,2022-05-22 04:41:00,60.8156,-115.7999,44.58,81,98,9.22
149,Mezen,RU,2022-05-22 04:41:01,65.8522,44.24,34.68,56,93,11.88
150,Shuiji,CN,2022-05-22 04:41:01,27.4214,118.345,69.19,94,100,1.43
151,Meulaboh,ID,2022-05-22 04:41:01,4.1363,96.1285,83.84,72,89,3.18
152,Herten,DE,2022-05-22 04:41:02,51.6,7.1333,54.66,81,95,1.74
153,Cherskiy,RU,2022-05-22 04:33:12,68.75,161.3,59.52,35,33,14.65
