City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
458,Buchanan,LR,77.56,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
460,Faya,SA,78.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
461,Siocon,PH,79.0,moderate rain,7.7061,122.1353,ABS Hotel
462,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
464,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
467,Owo,NG,78.85,moderate rain,7.1962,5.5868,The Chancery Hotel and Resort limited
469,Mayo,US,89.37,clear sky,38.8876,-76.5119,Resorts Resource Group International
471,La Orotava,ES,75.43,clear sky,28.3908,-16.5231,BLUESEA Puerto Resort
475,Beberibe,BR,83.57,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
476,Porto Velho,BR,86.05,few clouds,-8.7619,-63.9039,Ecos Hotel Conforto
477,Pahrump,US,75.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
479,Jieshi,CN,76.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
480,Lasa,IT,77.88,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
483,Cozumel,MX,86.95,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
484,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
487,Tamandare,BR,81.39,few clouds,-8.7597,-35.1047,Pousada 100 Passos
488,Impfondo,CG,84.18,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
497,Matay,EG,84.22,clear sky,28.419,30.7792,Nag Aespen
498,Lastoursville,GA,79.02,light rain,-0.8143,12.7287,Auberge Bon Coin 02
500,Ardakan,IR,79.77,clear sky,32.31,54.0175,Ardakan Hotel
501,Guaymas,MX,80.46,scattered clouds,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
502,Kingman,US,76.55,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
508,Dangriga,BZ,80.89,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
510,Kirakira,SB,79.38,few clouds,-10.4544,161.9205,SanBiz Lodge
512,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
516,Carutapera,BR,84.85,few clouds,-1.195,-46.02,Lidera
520,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
521,Pereira Barreto,BR,76.46,clear sky,-20.6383,-51.1092,Hotel Pousada Pantal
525,Saint-Francois,FR,83.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
528,Casas Grandes,MX,76.44,broken clouds,30.3667,-107.95,Pueblo del Soul B&B
529,Villa Guerrero,MX,80.28,clear sky,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
532,Malakal,SS,88.16,broken clouds,9.5334,31.6605,Nile Palace Hotel
